GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
car-pool,com.practo.carpool.controller,VehicleController,58,3,0,0,12,1,5,1,5,1
car-pool,com.practo.carpool.controller,ListingController,72,6,0,0,14,2,7,1,7,1
car-pool,com.practo.carpool.controller,UserController,53,3,0,0,12,1,5,1,5,1
car-pool,com.practo.carpool.controller,AddressController,53,3,0,0,12,1,5,1,5,1
car-pool,com.practo.carpool.controller,SourceController,53,3,0,0,12,1,5,1,5,1
car-pool,com.practo.carpool.controller,ApplicationController,19,6,0,0,3,2,2,1,2,1
car-pool,com.practo.carpool.controller,BookingController,58,3,0,0,12,1,5,1,5,1
car-pool,com.practo.carpool.service,UserServiceImplement,23,139,1,3,9,40,1,7,0,6
car-pool,com.practo.carpool.service,ListingServiceImplement,52,131,3,3,16,38,3,7,1,6
car-pool,com.practo.carpool.service,VehicleServiceImplement,18,141,1,3,8,40,1,7,0,6
car-pool,com.practo.carpool.service,AddressServiceImplement,18,118,1,3,8,33,1,7,0,6
car-pool,com.practo.carpool.service,BookingServiceImplement,27,170,1,3,12,47,1,7,0,6
car-pool,com.practo.carpool.service,SourceServiceImplement,18,127,1,3,8,37,1,7,0,6
car-pool,com.practo.carpool.data.entity,Booking,6,39,0,0,2,18,2,11,2,11
car-pool,com.practo.carpool.data.entity,User,87,46,0,0,29,21,14,13,14,13
car-pool,com.practo.carpool.data.entity,Address,33,46,0,0,11,20,6,13,6,13
car-pool,com.practo.carpool.data.entity,Listing,33,74,0,0,11,32,6,21,6,21
car-pool,com.practo.carpool.data.entity,Source,33,39,0,0,11,17,6,11,6,11
car-pool,com.practo.carpool.data.entity,Vehicle,33,53,0,0,11,24,6,15,6,15
car-pool,com.practo.carpool.data.filter,ListingFilter,60,0,0,0,25,0,17,0,17,0
car-pool,com.practo.carpool.data.model,UserModel,27,87,1,5,11,27,3,13,2,11
car-pool,com.practo.carpool.data.model,VehicleModel,18,117,2,6,7,39,3,15,1,13
car-pool,com.practo.carpool.data.model,BookingModel,12,99,4,6,6,33,5,10,1,9
car-pool,com.practo.carpool.data.model,SourceModel,9,72,2,4,4,22,3,10,1,9
car-pool,com.practo.carpool.data.model,ListingModel,33,198,2,14,16,65,3,25,1,19
car-pool,com.practo.carpool.data.model,AddressModel,9,87,2,4,4,27,3,12,1,11
car-pool,com.practo.carpool.run,Application,14,3,0,0,3,1,2,1,2,1
car-pool,com.practo.carpool.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
car-pool,com.practo.carpool.repository,SourceRepository,19,22,0,0,6,5,1,4,1,4
car-pool,com.practo.carpool.repository,BookingRepository,24,50,0,0,7,10,2,5,2,5
car-pool,com.practo.carpool.repository,VehicleRepository,18,53,0,0,5,12,2,5,2,5
car-pool,com.practo.carpool.repository,AddressRepository,13,28,0,0,4,7,1,4,1,4
car-pool,com.practo.carpool.repository,ListingRepository,70,22,2,0,16,5,4,4,3,4
car-pool,com.practo.carpool.repository,UserRepository,19,22,0,0,6,5,1,4,1,4
